FactID	Fact_Statement	True/False
3347316	Nobel Peace Prize is Henry Dunant's honour.	1.0
3467861	Ted Harbert is Stephen Dunham's better half.	0.0
3369856	Nobel Prize in Literature is Albert Einstein's honour.	0.0
3344382	International Atomic Energy Agency's award is Nobel Prize in Literature.	0.0
3498385	São Tomé and Príncipe is Aimo Cajander's role.	0.0
3493997	Dom Mintoff's office is Spain.	0.0
3485303	Luxembourg is Kiichi Miyazawa's role.	0.0
3315397	Nobel Prize in Literature is David Baltimore's honour.	0.0
3813651	Stevie Wonder's birth place is New Haven, Connecticut.	0.0
4386512	Intec Telecom Systems' foundation place is Woking.	1.0
4372925	Hong Kong is Team and Concepts' innovation place.	1.0
3311184	Nobel Prize in Physics is Elias Canetti's honour.	0.0
3314101	Sinclair Lewis' award is Nobel Prize in Physics.	0.0
3858331	Saginaw, Michigan is Stevie Wonder's nascence place.	1.0
3881597	Martina Navratilova's birth place is Prague.	1.0
3819960	Portsmouth is Charles Dickens' nascence place.	1.0
3811106	Tony Blair's birth place is Edinburgh.	1.0
3815947	Duluth, Minnesota is Tony Blair's nascence place.	0.0
4376110	Day Software's foundation place is Basel.	1.0
4390604	Palm, Inc.'s foundation place is United States.	1.0
3815132	Mammootty's birth place is Hodgenville, Kentucky.	0.0
3815681	Liverpool is Pierre Trudeau's nascence place.	0.0
3603525	Camp Rock stars Nick Jonas.	1.0
3644888	2012 (film) stars Amanda Peet.	1.0
3669935	2012 (film) stars Danny Glover	1.0
3813369	Tom Hanks' birth place is New York City.	0.0
3818949	New York City is Mammootty's nascence place.	0.0
3851499	Cadence Design Systems' subsidiary is Billpoint.	0.0
3828206	Count Basie's death place is Hollywood, Florida.	1.0
3855715	Ljubljana is Josip Broz Tito's last place.	1.0
3812460	Elizabeth Taylor's death place is Los Angeles.	1.0
3816277	Elizabethton, Tennessee is Andrew Johnson's last place.	1.0
3861867	Electronic Arts' subsidiary is Portal Software.	0.0
3879732	Sunopsis is IBM's subordinate.	0.0
3835357	Jelena Janković's birth place is Plains, Georgia.	0.0
3810699	Saginaw, Michigan is Bryan Adams' nascence place.	0.0
3316845	J. J. Thomson's award is Nobel Prize in Physics.	1.0
3316595	Nobel Prize in Physics is Gabriel Lippmann's honour.	1.0
3393661	Johannes Diderik van der Waals' award is Nobel Prize in Physics.	1.0
3872953	Usher (entertainer)'s birth place is Portland, Maine.	0.0
3825990	Barnwell, South Carolina is Quentin Tarantino's nascence place.	0.0
3316389	Nobel Peace Prize is International Atomic Energy Agency's honour.	1.0
3365311	Karl von Frisch's award is Nobel Prize in Physiology or Medicine.	1.0
3825214	Martina Navratilova's birth place is Gary, Indiana.	0.0
3874609	Albany, Georgia is Justin Timberlake's nascence place.	0.0
3876842	William Ewart Gladstone's birth place is Dallas.	0.0
3869925	Compton, California is Mark Woodforde's nascence place.	0.0
3326872	Gustaf Dalén's award is Nobel Prize in Physics.	1.0
3313415	Max von Laue's award is Nobel Prize in Physics.	1.0
3367973	Nobel Prize in Physics is Charles Glover Barkla's honour.	1.0
3315556	Johannes Stark's award is Nobel Prize in Physics.	1.0
3343269	Nobel Prize in Physics is Albert Einstein's honour.	1.0
3355229	Robert Andrews Millikan's award is Nobel Prize in Physics.	1.0
3311983	Nobel Prize in Physics is James Franck's honour.	1.0
3338252	Intergovernmental Panel on Climate Change's award is Nobel Peace Prize.	1.0
3861203	Tacoma, Washington is Chris Evert's nascence place.	0.0
3800255	Harry S. Truman's birth place is Memphis, Tennessee.	0.0
3382349	Miguel Ángel Asturias' award is Nobel Prize in Literature.	1.0
3313582	Nobel Prize in Literature is Rudyard Kipling's honour.	1.0
3316942	H. A. Lorentz's award is Nobel Prize in Chemistry.	0.0
3377524	Andrew Huxley's award is Nobel Prize in Literature.	0.0
3339371	Nobel Prize in Literature is Grameen Bank's honour.	0.0
3374812	Nobel Prize in Literature is Charles Thomson Rees Wilson's honour.	0.0
3336882	William Henry Bragg's award is Nobel Prize in Literature.	0.0
3378506	Nobel Prize in Literature is Charles Thomson Rees Wilson's honour.	0.0
3327724	François Jacob's award is Nobel Prize in Literature.	0.0
3389911	Nobel Prize in Literature is Wangari Maathai's honour.	0.0
3314695	Heike Kamerlingh Onnes' award is Nobel Prize in Literature.	0.0
3307350	Gao Xingjian's award is Nobel Prize in Literature.	1.0
3316314	Giosuè Carducci's award is Nobel Prize in Literature.	1.0
3321195	Frans Eemil Sillanpää's award is Nobel Prize in Literature.	1.0
3395187	Nobel Prize in Literature is John Steinbeck's honour.	1.0
3311093	Vicente Aleixandre's award is Nobel Prize in Literature.	1.0
3388743	Nobel Prize in Literature is William Faulkner's honour.	1.0
3324003	Władysław Reymont's award is Nobel Prize in Literature.	1.0
3355072	Nobel Prize in Literature is Maurice Maeterlinck's honour.	1.0
3890440	Frederick the Great's death place is Indianapolis.	0.0
3836826	Camden, New Jersey is Calvin Coolidge's last place.	0.0
3841122	Elizabeth Taylor's death place is Melbourne.	0.0
3815140	The Hague is Woody Guthrie's last place.	0.0
3813182	Sammy Davis, Jr.'s death place is Hidden Hills, California.	0.0
3859241	Fremont, Ohio is Eugene O'Neill's last place.	0.0
3812588	William McKinley's death place is New York City.	0.0
3876322	New York City is Ella Fitzgerald's last place.	0.0
3817474	Arthur Ashe's death place is Los Angeles.	0.0
3858438	Cambridge, Massachusetts is Gary Cooper's last place.	0.0
3812152	Akbar's death place is Cuernavaca.	0.0
3819292	Seattle is George Jones' last place.	0.0
3820159	Jonathan Swift's death place is New York City.	0.0
3311730	Kenzaburō Ōe's award is Nobel Prize in Literature.	1.0
3385020	Halldór Laxness' award is Nobel Prize in Literature.	1.0
3328211	Paul Heyse's award is Nobel Prize in Literature.	1.0
3312187	Nobel Prize in Literature is Dario Fo's award.	1.0
3340339	Sinclair Lewis' award is Nobel Prize in Literature.	1.0
3358281	Heinrich Böll's award is Nobel Prize in Literature.	1.0
3371625	James Franck's award is Nobel Prize in Literature.	0.0
3320174	Nobel Prize in Literature is Ahmed Zewail's honour.	0.0
3304534	Andrew Huxley's award is Nobel Prize in Literature.	0.0
3323850	Nobel Prize in Literature is Anatole France's honour.	1.0
3393891	Mikhail Sholokhov's award is Nobel Prize in Literature.	1.0
3347376	Nobel Prize in Literature is Theodor Mommsen's honour.	1.0
3318526	Romain Rolland's award is Nobel Prize in Literature.	1.0
3320670	Juan Ramón Jiménez's award is Nobel Prize in Literature.	1.0
3307475	Thomas Mann's award is Nobel Prize in Literature.	1.0
3313700	Nobel Prize in Literature is Toni Morrison's honour.	1.0
3376072	Wisława Szymborska's award is Nobel Prize in Literature.	1.0
3363285	Nobel Prize in Literature is Henryk Sienkiewicz's honour.	1.0
3318117	W. B. Yeats' award is Nobel Prize in Literature.	1.0
3392191	Nobel Prize in Literature is John Galsworthy's honour.	1.0
3631055	Mad Max stars Marilyn Ghigliotti.	0.0
3654970	A Hard Day's Night (film) stars Jeffrey Jones.	0.0
3630082	Kill Bill stars Lisa Marie (actress).	0.0
3848722	Nuremberg is Hermann Göring's death place.	1.0
3820586	Humphrey Bogart's death place is Los Angeles.	1.0
3816451	Nashville, Tennessee is George Jones' last place.	1.0
3866281	Roy Orbison's death place is Hendersonville, Tennessee.	1.0
3685027	Last Action Hero stars Patricia Arquette.	0.0
3688867	Mean Girls stars Alan Arkin.	0.0
3613716	Camp Rock stars Dianne Wiest.	0.0
3620623	Superbad (film) stars Kathy Baker.	0.0
3800494	Interlink Computer Sciences is Cisco Systems' subordinate.	0.0
3821469	Oracle Corporation's subsidiary is Conrail.	0.0
3811429	Westwood Studios is Yahoo!'s subordinate.	0.0
3827571	Oracle Corporation's subsidiary is Zimbra.	0.0
3801427	Corixa is Hewlett-Packard's subordinate.	0.0
3372222	J. M. Coetzee's award is Nobel Prize in Literature.	1.0
3385345	Nobel Prize in Literature is Roger Martin du Gard's honour.	1.0
3321370	Verner von Heidenstam's award is Nobel Prize in Literature.	1.0
3383867	Ivan Bunin's award is Nobel Prize in Literature.	1.0
3321497	Nobel Prize in Literature is Jacinto Benavente's honour.	1.0
3365050	José Saramago's award is Nobel Prize in Literature.	1.0
3379194	Nobel Prize in Literature is Luigi Pirandello's honour.	1.0
3399684	François Mauriac's award is Nobel Prize in Literature.	1.0
3316968	Nobel Prize in Literature is Derek Walcott's honour.	1.0
3810943	George W. Bush's birth place is New Haven, Connecticut.	1.0
3853510	Duluth, Minnesota is Bob Dylan's nascence place.	1.0
3821565	Abraham Lincoln's birth place is Hodgenville, Kentucky.	1.0
3819616	Liverpool is John Lennon's nascence place.	1.0
3813560	Robert Christgau's birth place is New York City.	1.0
3839992	New York City is Jay-Z's nascence place.	1.0
3826772	Jimmy Carter's birth place is Plains, Georgia.	1.0
3884406	Long Branch, New Jersey is Bruce Springsteen's nascence place.	1.0
3819192	Jimi Hendrix's birth place is Seattle.	1.0
3833133	Staunton, Virginia is Woodrow Wilson's nascence place.	1.0
3892429	Venus Williams' birth place is Lynwood, California.	1.0
3899449	Omaha, Nebraska is Andy Roddick's nascence place.	1.0
3820621	Kylie Minogue's birth place is Melbourne.	1.0
3860513	Toronto is Neil Young's nascence place.	1.0
3856636	Stephen King's birth place is Portland, Maine.	1.0
3818880	Tacoma, Washington is Bing Crosby's nascence place.	1.0
3821011	Yoko Ono's birth place is Tokyo.	1.0
3875374	Franklin D. Roosevelt's death place is Warm Springs, Georgia.	1.0
3803384	John F. Kennedy's death place is Dallas.	1.0
3810871	Harry S. Truman's death place is Kansas City, Missouri.	1.0
3898410	Johnny Cash's death place is Nashville, Tennessee.	1.0
3849990	Santa Monica, California is Miles Davis' last place.	1.0
3827697	Walt Disney's death place is Burbank, California.	1.0
3854635	Los Angeles is John Wayne's last place.	1.0
3843101	Edgar Allan Poe's death place is Baltimore.	1.0
3808752	Las Vegas is Tupac Shakur's last place.	1.0
3887937	Pierre Trudeau's death place is Montreal.	1.0
3814430	New York City is Richard Rodgers' last place.	1.0
3812265	Herbert Hoover's death place is New York City.	1.0
3817236	Quincy, Massachusetts is John Adams' last place.	1.0
3819708	William McKinley's death place is Buffalo, New York.	1.0
3871849	New York City is George Balanchine's last place.	1.0
3810221	Chet Atkins' death place is Nashville, Tennessee.	1.0
3800728	Beverly Hills, California is Harold Lloyd's last place.	1.0
3805131	John A. Macdonald's death place is Ottawa.	1.0
3813051	Roswell, Georgia is Curtis Mayfield's last place.	1.0
4313899	SevOne's foundation place is United States.	0.0
4315164	Serena Software's foundation place is Alcalá de Henares.	0.0
3882344	John Diefenbaker's death place is Ottawa.	1.0
3872021	Boston is Anthony Quinn's last place.	1.0
3859067	Gene Kelly's death place is Beverly Hills, California.	1.0
3861019	Palo Alto, California is Steve Jobs' last place.	1.0
3873260	Franklin Pierce's death place is Concord, New Hampshire.	1.0
4316465	Symantec's foundation place is Iceland.	0.0
4395186	Bozeman, Montana is Team and Concepts' innovation place.	0.0
4396066	Digital Research's foundation place is Vancouver.	0.0
4315118	Art Technology Group's foundation place is Berkeley, California.	0.0
4330979	California is Attensity's innovation place.	0.0
4383287	Ansys' foundation place is Woking.	0.0
4319638	Borland's foundation place is San Francisco.	0.0
4369111	Redxpress' foundation place is Pittsburgh.	0.0
4343776	Spiceworks' foundation place is Berkeley, California.	0.0
4306154	Portsmouth is Impetus Technologies' innovation place.	0.0
4388803	Angoss' foundation place is Shenzhen.	0.0
4310804	Providence, Rhode Island is Nokia's innovation place.	0.0
4313070	Acronis' foundation place is Huntington Beach, California.	0.0
4379929	MarkLogic's foundation place is Novato, California.	0.0
4396222	Critical Path, Inc.'s foundation place is Seattle.	0.0
4321085	Futuremark's foundation place is Pacific Grove, California.	0.0
4303508	Montreal is Angoss' innovation place.	0.0
4329088	Siebel Systems' foundation place is Belleville, Illinois.	0.0
3878297	Errol Flynn's death place is Vancouver.	1.0
3857508	Makati is Corazon Aquino's last place.	1.0
3856098	John C. Frémont's death place is New York City.	1.0
3811634	Jerry Goldsmith's death place is Beverly Hills, California.	1.0
3880159	Beverly Hills, California is Billy Wilder's last place.	1.0
3862804	John Lee Hooker's death place is Los Altos, California.	1.0
3892571	Oxford is Roald Dahl's last place.	1.0
4368220	Microsoft's foundation place is Albuquerque, New Mexico.	1.0
4346351	Endicott, New York is IBM's innovation place.	1.0
4312487	SAP AG's foundation place is Mannheim.	1.0
4379388	Sunnyvale, California is Interwoven's innovation place.	1.0
4310398	California is NeXT's innovation place.	1.0
4390665	SCO Group's foundation place is Santa Cruz, California.	1.0
4321384	Six Apart's foundation place is San Francisco.	1.0
4313151	Munich is Nemetschek's innovation place.	1.0
4325429	Attachmate's foundation place is Bellevue, Washington.	1.0
4318709	New York City is Blackbaud's innovation place.	1.0
4391108	Acronis' foundation place is United States.	1.0
4339077	Montreal is Strategy First's innovation place.	1.0
4364119	Salesforce.com's foundation place is California.	1.0
4379816	Bozeman, Montana is RightNow Technologies' innovation place.	1.0
